OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,ActivityEndDate,ActivityEndTime.Time,ActivityEndTime.TimeZoneCode,ActivityDepthHeightMeasure.MeasureValue,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasureValue.Original,TADA.ResultMeasureValue.Flag,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureValue,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,DetectionLimitMeasureValue.Original,TADA.DetectionLimitMeasureValue.Flag,DetectionQuantitationLimitMeasure.MeasureUnitCode,PreparationStartDate,ProviderName,ActivityStartDateTime,ActivityEndDateTime,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,MethodSpecificationName,ProjectName,ProjectDescriptionText,SamplingDesignTypeCode,QAPPApprovedIndicator,QAPPApprovalAgencyName,ProjectFileUrl,ProjectMonitoringLocationWeightingUrl
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-UTLK210119-4910009-0119-4-C,Quality Control Sample-Field Blank,WATER,NA,1/19/2021,16:30:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4910009,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,NITROGEN,TOTAL,NA,NA,ND or NA,MG/L,U,Accepted,NA,Actual,NA,NA,NA,NA,NA,Not detected/reported,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,2/4/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,1/19/2021 23:30,NA,EQUIPMENT BLANK-Utah Lake,Lake,Equipment Blank,16020204,NA,NA,NA,NA,40.77413,-111.94789,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-DC210316-4990996-0316-4-C,Sample-Routine,WATER,NA,3/16/2021,10:40:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,Davis County,UTAHDWQ_WQX-4990996,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,0.179,0.179,Numeric,MG/L,J,Accepted,NA,Actual,NA,NA,NA,NA,NA,Estimated: The analyte was positively identified and the associated numerical value is the approximate concentration of the analyte in the sample.,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,4/1/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,3/16/2021 17:40,NA,N. CANYON CK @ CANYON CREEK DR,River/Stream,NA,16020204,NA,NA,NA,NA,40.84629,-111.85336,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Cooperative Monitoring,"This will include sampling performed routinely by our federal, state, and local governmental cooperating agencies.",NA,N,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210308-4905590-0310-4-C,Sample-Routine,WATER,NA,3/10/2021,13:10:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4905590,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,0.952,0.952,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,3/29/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,3/10/2021 20:10,NA,LITTLE BEAR RIVER BL WELLSVILLE OUTFALL AB ISLAND,River/Stream,NA,16010203,NA,NA,NA,NA,41.66676,-111.92037,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210111-4900753-0113-4-C,Quality Control Sample-Field Blank,WATER,NA,1/13/2021,15:00:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4900753,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,NITROGEN,TOTAL,NA,NA,ND or NA,MG/L,U,Accepted,NA,Actual,NA,NA,NA,NA,NA,Not detected/reported,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,1/21/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,1/13/2021 22:00,NA,EQUIPMENT BLANK Bear River Watershed Crew 2,River/Stream,Equipment Blank,16020204,NA,NA,NA,NA,40.77413,-111.94789,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BORLP210323-4952940-0325-4-C,Sample-Routine,WATER,NA,3/25/2021,9:00:00,MST,NA,NA,NA,0.66,m,NA,NA,NA,NA,NA,306,Bureau of Reclamation,UTAHDWQ_WQX-4952940,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,0.85,0.85,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,4/13/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,3/25/2021 16:00,NA,SAN JUAN R AB LAKE POWELL,River/Stream,NA,14080205,NA,NA,NA,NA,37.29416,-110.4068,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Cooperative Monitoring,"This will include sampling performed routinely by our federal, state, and local governmental cooperating agencies.",NA,N,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210405-4905670-0406-4-C,Sample-Routine,WATER,NA,4/6/2021,14:20:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4905670,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,0.614,0.614,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,4/23/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,4/6/2021 21:20,NA,LITTLE BEAR R BL WHITE TROUT FARM AT CR XING,River/Stream,NA,16010203,NA,NA,NA,NA,41.57576,-111.85439,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210111-4901431-0111-4-C,Sample-Routine,WATER,NA,1/11/2021,12:10:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4901431,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,3.55,3.55,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,1/19/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,1/11/2021 19:10,NA,SALT CK AT 4600 NORTH,River/Stream,NA,16010204,NA,NA,NA,NA,41.59335,-112.08664,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210405-4903030-0406-4-C,Sample-Routine,WATER,NA,4/6/2021,14:40:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4903030,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,1.44,1.44,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,4/23/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,4/6/2021 21:40,NA,NEWTON CK AT QUIGLEY XING 2 BLOCKS NORTH OF U23,River/Stream,NA,16010202,NA,NA,NA,NA,41.86687,-111.981,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210208-4903820-0223-4-C,Sample-Routine,WATER,NA,2/23/2021,9:45:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4903820,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,1.42,1.42,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,Spiked sample recovery not within control limits,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,3/4/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,2/23/2021 16:45,NA,BEAR R W OF RICHMOND AT U142 XING,River/Stream,NA,16010202,NA,NA,NA,NA,41.92215,-111.9069,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210208-4905631-0210-4-C,Quality Control Sample-Field Replicate,WATER,NA,2/10/2021,11:10:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4905631,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,0.567,0.567,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,2/17/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,2/10/2021 18:10,NA,LITTLE BEAR R NR WELLSVILLE @SR101 XING Replicate of 4905630,River/Stream,Replicate of 4905630,16010203,NA,NA,NA,NA,41.64339,-111.91725,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210308-4908744-0309-4-C,Sample-Routine,WATER,NA,3/9/2021,9:15:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4908744,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,0.152,0.152,Numeric,MG/L,J,Accepted,NA,Actual,NA,NA,NA,NA,NA,Estimated: The analyte was positively identified and the associated numerical value is the approximate concentration of the analyte in the sample.,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,3/25/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,3/9/2021 16:15,NA,Logan River bl 2nd Dam (UT09ST-198),River/Stream,NA,16010203,NA,NA,NA,NA,41.74499,-111.74932,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210308-4905400-0309-4-C,Sample-Routine,WATER,NA,3/9/2021,12:50:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4905400,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,0.252,0.252,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,3/25/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,3/9/2021 19:50,NA,BLACKSMITH FK R AB CNFL / LOGAN R AT US89 XING,River/Stream,NA,16010203,NA,NA,NA,NA,41.70438,-111.85189,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-UTLK210315-4917320-0315-29-C,Quality Control Sample-Field Replicate,WATER,NA,3/15/2021,12:00:00,MST,NA,NA,NA,2.08,m,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4917320,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,0.636,0.636,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,3/30/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,3/15/2021 19:00,NA,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A Replicate of 4917310,Lake,Replicate of 4917310,16020201,NA,NA,NA,NA,40.32087,-111.77754,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-UTLK210216-4995038-0216-4-C,Sample-Routine,WATER,NA,2/16/2021,14:00:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4995038,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,9.57,9.57,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,3/1/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,2/16/2021 21:00,NA,Timpanogos Effluent below constructed duck ponds,Wetland Undifferentiated,NA,16020201,NA,NA,NA,NA,40.33719,-111.77701,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210111-4903820-0113-4-C,Sample-Routine,WATER,NA,1/13/2021,9:50:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4903820,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,1.45,1.45,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,1/27/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,1/13/2021 16:50,NA,BEAR R W OF RICHMOND AT U142 XING,River/Stream,NA,16010202,NA,NA,NA,NA,41.92215,-111.9069,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-UTLK210315-4917305-0315-29-C,Sample-Routine,WATER,NA,3/15/2021,11:00:00,MST,NA,NA,NA,1.57,m,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4917305,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,1.14,1.14,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,3/30/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,3/15/2021 18:00,NA,Utah Lake at American Fork Marina near boat ramp,Lake,NA,16020201,NA,NA,NA,NA,40.34238,-111.80084,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
